epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3491,1.81329,2.87342,1.55764,0.75692,0.10464,0.22584,0.10697,1.68955,2.8093,1.70332,0.000410628,0.000410628,0.000410628
2,55.4101,1.71779,1.78891,1.50285,0.49513,0.55955,0.50152,0.27224,1.57327,1.71678,1.5733,0.00066349,0.00066349,0.00066349
3,76.0022,1.66366,1.58489,1.48424,0.73594,0.65562,0.68533,0.36725,1.51535,1.32197,1.5155,0.000751353,0.000751353,0.000751353
4,96.549,1.57305,1.40467,1.42264,0.82284,0.73539,0.77497,0.39103,1.56848,1.11649,1.58956,0.0005075,0.0005075,0.0005075
5,117.08,1.51993,1.29285,1.39022,0.73723,0.7448,0.79668,0.43873,1.55042,0.98086,1.48803,0.00026,0.00026,0.00026
