epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,74.8554,1.85736,3.21327,1.96993,0.00333,1,0.31673,0.16709,2.22215,4.25633,2.29004,0.000212918,0.000212918,0.000212918
17,79.0006,1.59113,3.06685,1.75571,0.00333,1,0.32076,0.14306,2.22525,3.96376,2.31361,0.000224472,0.000224472,0.000224472
18,83.1768,1.6509,3.24897,1.8626,0.00333,1,0.32076,0.14306,2.22525,3.96376,2.31361,0.000235695,0.000235695,0.000235695
19,88.0106,1.85018,3.14787,1.99385,0.00333,1,0.37,0.15704,2.1428,4.12381,2.23873,0.000246589,0.000246589,0.000246589
20,92.6322,1.57911,2.8839,1.73592,0.00333,1,0.37,0.15704,2.1428,4.12381,2.23873,0.000257153,0.000257153,0.000257153
21,97.3765,1.48628,2.64804,1.57788,0.00333,1,0.53435,0.16776,2.02165,4.29729,2.1487,0.000267387,0.000267387,0.000267387
22,102.172,1.67844,3.16446,1.86155,0.00333,1,0.53435,0.16776,2.02165,4.29729,2.1487,0.00027729,0.00027729,0.00027729
23,106.716,1.44789,2.8314,1.68666,0.00334,1,0.31122,0.16333,1.79074,4.42322,1.93888,0.000286864,0.000286864,0.000286864
24,110.908,1.47532,2.71096,1.60647,0.00334,1,0.31122,0.16333,1.79074,4.42322,1.93888,0.000296108,0.000296108,0.000296108
25,115.301,1.31068,2.56772,1.515,0.00334,1,0.33558,0.19179,1.7286,4.20982,1.87034,0.000305021,0.000305021,0.000305021
26,119.478,1.38306,2.49539,1.52347,0.00334,1,0.33558,0.19179,1.7286,4.20982,1.87034,0.000313604,0.000313604,0.000313604
27,123.702,1.73516,2.86946,1.90139,0.00334,1,0.36571,0.20762,1.8369,4.17582,1.98096,0.000321858,0.000321858,0.000321858
28,127.807,1.1985,2.3208,1.43471,0.00334,1,0.36571,0.20762,1.8369,4.17582,1.98096,0.000329781,0.000329781,0.000329781
29,132.079,1.20466,2.3146,1.44076,0.00335,1,0.35229,0.20321,1.8261,4.11319,1.95145,0.000337374,0.000337374,0.000337374
30,136.992,1.28748,2.08261,1.4769,0.00335,1,0.35229,0.20321,1.8261,4.11319,1.95145,0.000344637,0.000344637,0.000344637
31,142.48,1.32997,2.34285,1.50331,0.00336,1,0.33499,0.18403,1.85864,3.95921,1.9517,0.00035157,0.00035157,0.00035157
32,148.669,1.38017,2.53178,1.6504,0.00336,1,0.33499,0.18403,1.85864,3.95921,1.9517,0.000358173,0.000358173,0.000358173
33,155.327,1.24637,2.0664,1.4248,0.00336,1,0.4433,0.24525,1.86244,3.91173,2.06624,0.000364446,0.000364446,0.000364446
34,161.563,1.36559,2.07951,1.50599,0.00336,1,0.4433,0.24525,1.86244,3.91173,2.06624,0.000370389,0.000370389,0.000370389
35,168.127,1.30812,2.24596,1.51534,0.00336,1,0.43944,0.21142,2.17301,4.12707,2.28011,0.000376002,0.000376002,0.000376002
36,174.656,1.06878,1.91868,1.37557,0.00336,1,0.43944,0.21142,2.17301,4.12707,2.28011,0.000381285,0.000381285,0.000381285
37,180.364,1.21529,2.1145,1.37842,0.00336,1,0.39429,0.18516,2.18027,3.9506,2.26415,0.000386237,0.000386237,0.000386237
38,185.53,1.01175,1.84114,1.31399,0.00336,1,0.39429,0.18516,2.18027,3.9506,2.26415,0.00039086,0.00039086,0.00039086
39,190.909,1.27802,2.19848,1.50128,0.00335,1,0.38735,0.15394,2.28515,3.83353,2.36832,0.000395152,0.000395152,0.000395152
40,195.382,1.28807,1.76101,1.44398,0.00335,1,0.38735,0.15394,2.28515,3.83353,2.36832,0.000399115,0.000399115,0.000399115
